farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,change_lag,change_n,windDic_cat,season,Months,windspeed_cat,preds
A,34.5,4.2203300000000015,196.37435896825912,194.47832557073738,186.256714706135,217.66418575259198,208.04445846023768,0.05432096382719487,0.05942781712079248,SW,Winter,Dec,very_high,2.3431747
A,36.0,7.43422,197.2699212104465,193.7864084451697,186.90783120016178,218.60887330052572,209.4246184836411,0.05543957117124676,0.06161454923595788,SW,Winter,Dec,very_high,2.500367
A,36.0,7.43422,198.1654834526339,193.19193641367895,187.65242981424845,219.5635622819169,210.81119201677916,0.05602407412892019,0.06381388092325313,SW,Winter,Dec,very_high,2.4683537
A,37.5,9.57225,199.06104569482122,192.69490947626514,188.49051054839506,220.46453575537967,212.11539504600353,0.05607993270150424,0.06557962812671958,SW,Winter,Dec,very_high,2.653421
A,37.5,9.57225,199.05503874154658,192.29532763292823,189.42207340260157,221.33057641248627,213.3747929544585,0.05085450267705016,0.0719386673326301,SW,Winter,Dec,very_high,2.6554987
A,37.5,10.5384,199.9532620617102,191.95535841938502,190.34448618686477,222.14284612253996,214.55170948075087,0.05048097829013187,0.07300929861566985,SW,Winter,Dec,very_high,2.6384835
A,37.5,10.5384,200.85148538187389,191.67500183563553,191.25774890118473,222.9013448855408,215.64614462488055,0.05016129561184912,0.07365969544550754,SW,Winter,Dec,very_high,2.629885
A,39.0,10.5384,201.74970870203754,191.45425788167972,192.16186154556135,223.60607270148876,216.65809838684763,0.04989464131623711,0.0738954706835695,SW,Winter,Dec,very_high,2.922972
A,39.0,10.5384,202.64793202220122,191.29312655751755,193.05682411999467,224.25702957038388,217.587570766652,0.0496802324700274,0.07372213767675673,SW,Winter,Dec,very_high,2.9576359
A,37.2,9.11529,203.54615534236495,191.1916078631491,193.94263662448472,224.8542154922261,218.43456176429376,0.049517315454851385,0.07314511245317545,SW,Winter,Dec,very_high,2.580657
A,36.0,9.11529,204.44437866252864,191.14970179857434,194.81929905903147,225.39763046701546,219.19907137977282,0.049405164939951396,0.07216971585997678,SW,Winter,Dec,very_high,2.3654506
A,34.5,6.66448,205.3426019826923,191.16740836379324,195.68681142363494,225.88727449475195,219.88109961308928,0.04934308290278122,0.0708011756450928,SW,Winter,Dec,very_high,2.1501307
A,34.5,6.66448,206.24082530285597,191.24472755880583,196.54517371829513,226.28808961421944,220.48064646424302,0.04933039769502279,0.06904462848457116,SW,Winter,Dec,very_high,2.143515
A,38.9,12.7036,207.13904862301962,191.38165938361212,197.394385943012,226.61635109506196,220.99771193323417,0.04936646315169724,0.06690512195716636,SW,Winter,Dec,very_high,3.0646534
A,39.0,13.2965,208.03727194318333,191.5782038382121,198.2344480977856,226.93141841054992,221.39473063691835,0.04945065774119217,0.0642070460209796,SW,Winter,Dec,very_high,3.1360614
A,39.0,10.5384,208.93549526334704,191.83436092260578,199.06536018261588,227.23329156068345,221.84920671241267,0.04958238375414292,0.06180716891971327,SW,Winter,Dec,very_high,3.1553643
A,39.0,10.5384,208.93214938804866,192.15013063679314,199.8871221975029,227.54075323703458,222.3987055428613,0.0452506749364705,0.06445420771410948,SW,Winter,Dec,very_high,3.2433527
A,39.0,9.57225,210.88320505932865,192.53463085744986,200.75286310526874,227.81308674071636,222.96179373049017,0.05046175579945711,0.05727620019699242,SW,Winter,Dec,very_high,3.1965652
A,39.0,9.57225,212.83426073060866,192.98786158457597,201.6625829059135,228.08340499462224,223.53847127529926,0.055397871353791706,0.05029364402115344,SW,Winter,Dec,very_high,3.1862593
A,36.8,9.11529,214.7853164018887,193.50982281817144,202.61628159943712,228.2998123842866,224.1287381772886,0.060059511044177505,0.04350121289444786,SW,Winter,Dec,very_high,2.4639134
A,36.0,9.11529,216.7363720731686,194.1005145582363,203.61395918583955,228.45840374598131,224.73259443645819,0.0644475110635816,0.03689377231335267,SW,Winter,Dec,very_high,2.2131712
A,36.0,5.2253300000000005,218.6874277444487,194.75993680477055,204.65561566512085,228.57062510291837,225.350040052808,0.06856304447706041,0.030466371007596305,SW,Winter,Dec,very_high,2.1949954
A,36.0,5.2253300000000005,220.63848341572864,195.48808955777417,205.74125103728102,228.63647645509778,225.981075026338,0.07240761054645373,0.02421423283871471,SW,Winter,Dec,very_high,2.1563625
A,34.5,5.57428,222.58953908700872,196.28497281724717,206.87086530232008,228.65595780251957,226.62569935704826,0.07598302333060492,0.018132749124665004,SW,Winter,Dec,very_high,1.8635117
