farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,Months,windspeed_cat,preds
A,34.1,4.88318,19.928017192812085,18.915396654168994,19.503143169800236,18.902121253843156,19.009936853241552,SW,Winter,Dec,low,2.7461925
A,34.5,4.88318,19.785666445154217,18.970462722953023,19.534648915290983,18.930919737531973,18.971894488308376,SW,Winter,Dec,low,2.7928526
A,31.5,3.591,19.64331569749635,19.020980172910708,19.564034729430883,18.971181067245606,18.94228111248717,SW,Winter,Dec,low,2.4478824
A,30.0,3.591,19.50096494983848,19.06694900404204,19.591300612219932,19.022905242984052,18.921096725777925,SW,Winter,Dec,low,2.2666314
A,21.0,0.891108,19.35861420218061,19.108369216347032,19.616446563658133,19.08450338991477,18.90834132818065,SW,Winter,Dec,low,1.4477997
A,23.9,1.2598200000000002,19.073912706864874,19.14227516924947,19.633541302593073,19.1555023457892,18.909946200847756,SW,Winter,Dec,low,1.7342073
A,24.0,1.2598200000000002,18.85529596724483,19.170043628493016,19.645338360512074,19.23452534486368,18.923157812291915,S,Winter,Dec,low,2.4143589
A,29.6,1.2598200000000002,18.8777048066236,19.19669596030681,19.665058219538512,19.316551020909078,18.92389024475093,S,Winter,Dec,low,3.135556
A,30.0,1.2598200000000002,18.900113646002357,19.222232164690855,19.677685360993667,19.40157937392538,18.91756945573,S,Winter,Dec,low,3.1945524
A,23.0,1.08366,18.922522485381116,19.248241116477697,19.68321978487754,19.489610403912593,18.90419544522912,S,Winter,Dec,low,2.3269117
A,22.5,1.08366,18.944931324759878,19.271278488325986,19.681661491190127,19.58064411087072,18.8837682132483,S,Winter,Dec,low,2.2795799
A,22.1,0.891108,19.101793200411212,19.29414538515807,19.678612689776127,19.67187938987741,18.850685549942835,S,Winter,Dec,low,2.250671
A,19.5,1.08366,19.0479360478278,19.312451827219054,19.66529342112575,19.767706220687558,18.81372741482252,S,Winter,Dec,low,1.9647515
A,23.7,1.08366,18.978222212278887,19.325867466947162,19.64104299011544,19.868454950862944,18.773554503010914,S,Winter,Dec,low,2.4206622
A,24.0,1.08366,18.954984267095924,19.33536055205835,19.607797892177107,19.973157332687606,18.728230319076097,S,Winter,Dec,low,2.4596705
A,25.7,3.29181,18.93174632191295,19.34093108255262,19.565558127310755,20.08181336616155,18.677754863018073,S,Winter,Dec,low,2.6670675
A,25.5,3.29181,18.908508376729984,19.342579058429965,19.514323695516378,20.19283417645223,18.618950385171754,S,Winter,Dec,low,2.6451933
A,28.5,3.591,18.885270431547017,19.340304479690392,19.454094596793983,20.316443751958094,18.578108565938606,S,Winter,Dec,low,3.0074277
A,28.5,3.591,18.862032486364047,19.32723048481601,19.38487083114357,20.452642092679145,18.555229405318634,S,Winter,Dec,low,3.0142794
A,28.5,5.2253300000000005,18.838794541181077,19.311822810157256,19.30983014823022,20.60142919861538,18.550312903311838,S,Winter,Dec,low,3.023282
A,28.5,5.2253300000000005,18.815556595998103,19.297836686541306,19.239752498753322,20.762805069766802,18.56335905991822,S,Winter,Dec,low,3.0314846
A,28.5,4.88318,18.792318650815137,19.285272113968155,19.174637882712883,20.93676970613341,18.594367875137774,S,Winter,Dec,low,3.031992
A,28.5,4.88318,18.69281471367,19.272540217605265,19.111308550443805,21.124911982547747,18.6465170986356,S,Winter,Dec,low,3.0389805
A,29.5,6.29334,18.75275970469933,19.26296285012293,19.056408207286697,21.323910046339513,18.713163025071086,S,Winter,Dec,low,3.1822968
A,30.0,6.29334,18.812704695728662,19.256540011521157,19.009936853241552,21.53376389750871,18.794305654444234,S,Winter,Dec,low,3.2558632
A,34.5,3.00493,18.872649686758,19.253271701799942,18.971894488308376,21.754473536055333,18.889944986755047,S,Winter,Dec,low,4.0252924
