timeStamp,windDic (degree),windSpeed_5min,availableMW,farm,prediction
1/1/2019 18:45,,9.041645987,99,B,55.9342041
1/1/2019 18:50,,8.811804997,99,B,54.71876526
1/1/2019 18:55,,8.581964008,99,B,52.64926147
1/1/2019 19:00,102.58615,8.336886705,99,B,51.43524933
1/1/2019 19:05,,8.14570528,99,B,50.70053864
1/1/2019 19:10,,7.954523856,99,B,49.88890076
1/1/2019 19:15,,7.763342431,99,B,37.85255814
1/1/2019 19:20,,7.572161006,99,B,37.03158188
1/1/2019 19:25,,7.380979582,99,B,36.63132477
1/1/2019 19:30,,7.189798157,99,B,36.38651276
1/1/2019 19:35,,6.998616732,99,B,36.3892746
1/1/2019 19:40,,6.807435307,99,B,36.63421631
1/1/2019 19:45,,6.616253883,99,B,36.81817627
1/1/2019 19:50,,6.425072458,99,B,37.07416534
1/1/2019 19:55,,6.233891033,99,B,36.34092331
1/1/2019 20:00,71.257075,6.027473296,99,B,35.40413666
1/1/2019 20:05,,5.900103275,99,B,34.9834137
1/1/2019 20:10,,5.772733255,99,B,34.05145264
1/1/2019 20:15,,5.645363235,99,B,33.16697693
1/1/2019 20:20,,5.517993214,99,B,32.43788147
1/1/2019 20:25,,5.390623194,99,B,31.31057549
1/1/2019 20:30,,5.263253174,99,B,31.6684761
1/1/2019 20:35,,5.135883153,99,B,28.14049149
1/1/2019 20:40,,5.008513133,99,B,24.15282249
1/1/2019 20:45,,4.881143113,99,B,21.77920723
1/1/2019 20:50,,4.753773092,99,B,20.42388344
1/1/2019 20:55,,4.626403072,99,B,18.63044167
1/1/2019 21:00,99.076255,4.483796739,99,B,15.8410902
1/1/2019 21:05,,4.801986589,99,B,13.94846249
1/1/2019 21:10,,5.120176439,99,B,16.18486023
1/1/2019 21:15,,5.438366289,99,B,15.37629509
1/1/2019 21:20,,5.75655614,99,B,19.30964088
1/1/2019 21:25,,6.07474599,99,B,22.63214684
1/1/2019 21:30,,6.39293584,99,B,25.48440933
1/1/2019 21:35,,6.71112569,99,B,27.41991615
1/1/2019 21:40,,7.02931554,99,B,29.67462158
1/1/2019 21:45,,7.34750539,99,B,32.00190353
1/1/2019 21:50,,7.66569524,99,B,34.67213058
1/1/2019 21:55,,7.98388509,99,B,46.29032135
1/1/2019 22:00,316.35975,8.286838628,99,B,48.47119904
1/1/2019 22:05,,8.616112946,99,B,51.09999847
1/1/2019 22:10,,8.945387264,99,B,53.31515503
1/1/2019 22:15,,9.274661581,99,B,55.05754852
1/1/2019 22:20,,9.603935899,99,B,56.42788315
1/1/2019 22:25,,9.933210217,99,B,58.08684158
1/1/2019 22:30,,10.26248454,99,B,59.76931763
1/1/2019 22:35,,10.59175885,99,B,65.76150513
1/1/2019 22:40,,10.92103317,99,B,67.38771057
1/1/2019 22:45,,11.25030749,99,B,68.24230957
1/1/2019 22:50,,11.57958181,99,B,68.89030457
1/1/2019 22:55,,11.90885612,99,B,68.39654541
1/1/2019 23:00,306.96675,12.22289413,99,B,67.09712982
1/1/2019 23:05,,11.91134784,99,B,63.63405991
1/1/2019 23:10,,11.59980155,99,B,61.70716476
1/1/2019 23:15,,11.28825526,99,B,61.15077209
1/1/2019 23:20,,10.97670898,99,B,60.92094421
1/1/2019 23:25,,10.66516269,99,B,59.92417908
1/1/2019 23:30,,10.3536164,99,B,57.61875534
1/1/2019 23:35,,10.04207011,99,B,57.7352829
1/1/2019 23:40,,9.730523822,99,B,58.23656845
1/1/2019 23:45,,9.418977533,99,B,58.16155624
1/1/2019 23:50,,9.107431245,99,B,57.47547913
1/1/2019 23:55,,8.795884956,99,B,56.04058075
1/2/2019 0:00,336.268,8.66536119,99,B,55.40854645
1/2/2019 0:05,,8.647057704,99,B,50.70469284
1/2/2019 0:10,,8.628754218,99,B,50.64913559
1/2/2019 0:15,,8.610450732,99,B,50.53278732
1/2/2019 0:20,,8.592147246,99,B,51.08013916
1/2/2019 0:25,,8.57384376,99,B,50.83216095
1/2/2019 0:30,,8.555540274,99,B,50.54638672
1/2/2019 0:35,,8.537236788,99,B,50.2243042
1/2/2019 0:40,,8.518933302,99,B,49.86954117
1/2/2019 0:45,,8.500629816,99,B,49.55869293
1/2/2019 0:50,,8.48232633,99,B,49.3414917
1/2/2019 0:55,,8.464022844,99,B,48.97197723
1/2/2019 1:00,339.1645,8.430483045,99,B,48.51280975
1/2/2019 1:05,,8.419234517,99,B,48.15820694
1/2/2019 1:10,,8.407985988,99,B,47.75389481
1/2/2019 1:15,,8.39673746,99,B,47.38420105
1/2/2019 1:20,,8.385488931,99,B,47.06184769
1/2/2019 1:25,,8.374240403,99,B,46.91863251
1/2/2019 1:30,,8.362991874,99,B,46.81180573
1/2/2019 1:35,,8.351743346,99,B,46.68021393
1/2/2019 1:40,,8.340494817,99,B,46.5309906
1/2/2019 1:45,,8.329246289,99,B,46.33910751
1/2/2019 1:50,,8.31799776,99,B,46.09482574
1/2/2019 1:55,,8.306749232,99,B,45.8262291
1/2/2019 2:00,341.279,8.280264391,99,B,45.47147369
1/2/2019 2:05,,8.263336411,99,B,45.15609741
1/2/2019 2:10,,8.246408432,99,B,44.82471466
1/2/2019 2:15,,8.229480453,99,B,44.48115158
1/2/2019 2:20,,8.212552474,99,B,44.14720154
1/2/2019 2:25,,8.195624495,99,B,43.83598328
1/2/2019 2:30,,8.178696516,99,B,43.5664978
1/2/2019 2:35,,8.161768536,99,B,43.28499985
1/2/2019 2:40,,8.144840557,99,B,42.99546051
1/2/2019 2:45,,8.127912578,99,B,42.68763733
1/2/2019 2:50,,8.110984599,99,B,42.38321686
1/2/2019 2:55,,8.09405662,99,B,42.0738678
1/2/2019 3:00,343.7675,8.061892328,99,B,41.71907806
1/2/2019 3:05,,8.028664688,99,B,41.35319901
1/2/2019 3:10,,7.995437047,99,B,40.98852921
1/2/2019 3:15,,7.962209407,99,B,40.62843323
1/2/2019 3:20,,7.928981767,99,B,40.26667023
1/2/2019 3:25,,7.895754127,99,B,39.91032791
